#  VELOCITY:   AVE_POFV:      ERROR:
   0.0733333  0.00633068 0.000558126
        0.22   0.0464123  0.00173815
    0.366667    0.119251  0.00219056
    0.513333    0.210193  0.00236815
        0.66    0.319875  0.00305029
    0.806667    0.423293  0.00450604
    0.953333    0.509012   0.0042487
         1.1    0.574065  0.00336983
     1.24667    0.610354  0.00376705
     1.39333    0.613479  0.00521647
        1.54    0.593443  0.00401144
     1.68667    0.550854  0.00568424
     1.83333    0.489451  0.00403559
        1.98    0.417027  0.00417262
     2.12667    0.343528  0.00306815
     2.27333    0.277781  0.00238228
        2.42    0.212223  0.00243184
     2.56667    0.154265  0.00222244
     2.71333    0.114549  0.00152772
        2.86   0.0802687  0.00129433
     3.00667   0.0557081  0.00137538
     3.15333   0.0371109  0.00143916
         3.3   0.0231758 0.000942314
     3.44667   0.0155082 0.000816407
     3.59333  0.00879577 0.000729656
        3.74  0.00557519 0.000828681
     3.88667   0.0029957 0.000275089
     4.03333  0.00164299 0.000212483
        4.18   0.0012863 0.000262602
     4.32667 0.000727588 0.000167231
