#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.930105    0.930105           0
           2    0.890622    0.910364   0.0139594
           3    0.893137    0.904622   0.0104206
           4    0.888728    0.900648  0.00853941
           5    0.900772    0.900673  0.00683156
           6    0.891469    0.899139  0.00586265
           7    0.898505    0.899048  0.00502583
           8    0.884838    0.897272  0.00470103
           9    0.887111    0.896143  0.00431212
          10    0.900529    0.896582  0.00390315
          11    0.889406    0.895929  0.00360242
          12    0.902808    0.896502   0.0033475
          13     0.90472    0.897135  0.00314912
          14    0.899894    0.897332  0.00293034
          15    0.909158     0.89812  0.00283907
          16    0.907241     0.89869  0.00271826
          17    0.886331    0.897963   0.0026538
          18    0.915893    0.898959  0.00268681
          19    0.895639    0.898785  0.00255107
          20     0.90279    0.898985  0.00243137
