#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.05969     2.05969           0
           2     2.00724     2.03346   0.0185447
           3     1.99198     2.01964   0.0167426
           4     1.96519     2.00602    0.017223
           5     2.00448     2.00571   0.0137812
           6     2.01567     2.00737   0.0115838
           7     1.93033     1.99637   0.0142273
           8     1.92942       1.988   0.0147055
           9     1.95449     1.98428   0.0135346
          10     1.93478     1.97933   0.0130548
          11     1.94636     1.97633   0.0122072
          12     1.95807     1.97481   0.0112844
          13     1.98021     1.97522   0.0104241
          14     1.98946     1.97624  0.00972899
          15     1.94854     1.97439  0.00925399
          16     1.94999     1.97287  0.00880044
          17     1.96823      1.9726  0.00828699
          18     1.97168     1.97254  0.00782676
          19     2.01322     1.97469  0.00770202
          20     1.99362     1.97563  0.00737489
