#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.462544   -0.462544           0
           2   -0.409936    -0.43624   0.0185995
           3   -0.394658   -0.422379   0.0167879
           4   -0.368025   -0.408791   0.0172343
           5     -0.4073   -0.408492     0.01379
           6   -0.418506   -0.410161   0.0115922
           7   -0.332988   -0.399137   0.0142446
           8   -0.332108   -0.390758   0.0147234
           9    -0.35719   -0.387028   0.0135517
          10   -0.337466   -0.382072   0.0130714
          11   -0.349177   -0.379081   0.0122204
          12   -0.360771   -0.377556   0.0112969
          13   -0.382973   -0.377972   0.0104356
          14     -0.3923   -0.378996  0.00974025
          15   -0.351295   -0.377149  0.00926432
          16   -0.352688    -0.37562  0.00881054
          17   -0.371018    -0.37535  0.00829643
          18   -0.374472   -0.375301  0.00783566
          19   -0.416147   -0.377451  0.00771254
          20   -0.396486   -0.378402   0.0073854
