#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59715     1.59715           0
           2      1.5973     1.59722 5.47992e-05
           3     1.59732     1.59726 4.55148e-05
           4     1.59716     1.59723 3.94388e-05
           5     1.59718     1.59722 3.31688e-05
           6     1.59716     1.59721  2.9036e-05
           7     1.59734     1.59723 3.02142e-05
           8     1.59731     1.59724 2.80872e-05
           9      1.5973     1.59725   2.586e-05
          10     1.59731     1.59725 2.41336e-05
          11     1.59718     1.59725 2.29025e-05
          12      1.5973     1.59725 2.13419e-05
          13     1.59724     1.59725 1.97144e-05
          14     1.59716     1.59724 1.92512e-05
          15     1.59725     1.59724 1.79679e-05
          16      1.5973     1.59725 1.71639e-05
          17     1.59721     1.59725 1.62783e-05
          18     1.59721     1.59724 1.55234e-05
          19     1.59707     1.59723 1.71655e-05
          20     1.59714     1.59723 1.69971e-05
