#   N_BLOCK:  ACCEPTANCE:
           1    1.12e-05
           2 7.46667e-06
           3     5.6e-06
           4    4.48e-06
           5 3.73333e-06
           6     3.2e-06
           7     2.8e-06
           8 2.48889e-06
           9    2.24e-06
          10 2.03636e-06
          11 1.86667e-06
          12 1.72308e-06
          13     1.6e-06
          14 1.49333e-06
          15     1.4e-06
          16 1.31765e-06
          17 1.24444e-06
          18 1.17895e-06
          19    1.12e-06
          20 1.06667e-06
           1           0
           2           0
           3           0
           4           0
           5           0
           6           0
           7           0
           8           0
           9           0
          10           0
          11           0
          12           0
          13           0
          14           0
          15           0
          16           0
          17           0
          18           0
          19           0
          20           0
           1    1.78e-05
           2 1.53333e-05
           3    1.46e-05
           4     1.8e-05
           5 1.55333e-05
           6 2.74286e-05
           7   3.105e-05
           8 2.95111e-05
           9   3.168e-05
          10 3.91636e-05
          11 3.82333e-05
          12 3.61231e-05
          13 3.47143e-05
          14 3.27733e-05
          15  3.1475e-05
          16 2.98824e-05
          17 3.25111e-05
          18 3.14105e-05
          19   3.676e-05
          20 3.59048e-05
           1    0.001566
           2    0.001544
           3   0.0015538
           4  0.00151664
           5   0.0014738
           6  0.00149577
           7   0.0015418
           8  0.00162924
           9  0.00160908
          10  0.00160065
          11  0.00154673
          12  0.00151062
          13  0.00147577
          14   0.0014836
          15  0.00151842
          16  0.00151195
          17  0.00149893
          18  0.00149773
          19  0.00149656
          20  0.00149869
           1   0.0145096
           2   0.0140731
           3   0.0138256
           4    0.013421
           5    0.013339
           6    0.013245
           7   0.0134022
           8   0.0134942
           9   0.0135756
          10   0.0134782
          11   0.0134587
          12   0.0134187
          13   0.0133819
          14   0.0133858
          15   0.0134292
          16   0.0133948
          17   0.0133765
          18   0.0133755
          19    0.013439
          20   0.0135014
           1   0.0476644
           2     0.04777
           3   0.0478437
           4   0.0475574
           5   0.0471597
           6   0.0470526
           7   0.0471739
           8   0.0471351
           9   0.0471547
          10   0.0468964
          11   0.0468923
          12   0.0468988
          13   0.0469635
          14   0.0469352
          15   0.0470337
          16   0.0471389
          17   0.0471763
          18   0.0471426
          19    0.047157
          20   0.0471389
           1   0.0946898
           2   0.0950538
           3   0.0949448
           4   0.0951376
           5   0.0950103
           6   0.0947583
           7   0.0947336
           8   0.0946373
           9   0.0943412
          10   0.0941226
          11   0.0939223
          12   0.0940888
          13   0.0939422
          14   0.0939318
          15   0.0940263
          16   0.0939981
          17   0.0940914
          18   0.0940955
          19   0.0939991
          20   0.0940292
           1    0.140472
           2    0.140933
           3    0.140964
           4    0.140929
           5    0.141193
           6    0.141103
           7    0.141161
           8    0.141284
           9    0.141441
          10    0.141575
          11    0.141638
          12    0.141622
          13    0.141639
          14    0.141581
          15     0.14162
          16    0.141465
          17    0.141462
          18    0.141519
          19    0.141563
          20    0.141597
           1    0.186367
           2    0.186852
           3     0.18694
           4    0.186804
           5    0.186661
           6    0.186806
           7    0.186816
           8    0.186835
           9    0.186829
          10    0.186744
          11    0.186855
          12    0.186903
          13    0.186968
          14     0.18701
          15    0.187049
          16    0.187054
          17    0.187095
          18    0.187127
          19    0.187179
          20     0.18717
           1    0.231991
           2    0.231978
           3    0.231784
           4    0.231627
           5    0.231601
           6    0.231808
           7    0.231769
           8    0.231688
           9    0.231764
          10    0.231797
          11    0.231634
          12    0.231607
          13    0.231489
          14    0.231464
          15    0.231461
          16    0.231491
          17    0.231511
          18    0.231407
          19    0.231407
          20    0.231357
           1    0.273062
           2    0.273717
           3    0.273508
           4    0.273375
           5    0.273179
           6    0.273179
           7    0.273092
           8    0.273195
           9    0.273221
          10    0.273254
          11    0.273291
          12    0.273321
          13     0.27332
          14    0.273231
          15    0.273205
          16    0.273157
          17    0.273171
          18    0.273236
          19    0.273215
          20    0.273211
           1    0.310698
           2    0.311088
           3    0.311184
           4     0.31122
           5    0.311406
           6    0.311452
           7    0.311479
           8    0.311549
           9    0.311581
          10    0.311557
          11    0.311585
          12    0.311639
          13    0.311573
          14    0.311608
          15    0.311663
          16     0.31168
          17    0.311684
          18    0.311704
          19    0.311679
          20    0.311632
           1    0.347483
           2    0.347699
           3    0.347625
           4    0.347774
           5    0.347651
           6    0.347684
           7     0.34765
           8    0.347602
           9    0.347641
          10    0.347589
          11      0.3476
          12    0.347561
          13    0.347561
          14    0.347615
          15    0.347629
          16    0.347657
          17      0.3477
          18    0.347705
          19    0.347744
          20    0.347801
           1    0.381488
           2    0.381462
           3    0.381133
           4    0.380933
           5    0.381091
           6    0.381114
           7    0.381027
           8    0.381006
           9    0.381025
          10    0.381057
          11    0.381107
          12    0.381105
          13    0.381161
          14    0.381176
          15    0.381219
          16    0.381223
          17    0.381202
          18    0.381192
          19    0.381144
          20    0.381155
           1    0.411831
           2    0.411692
           3    0.411911
           4    0.411942
           5     0.41211
           6    0.412076
           7     0.41213
           8    0.412067
           9     0.41209
          10     0.41208
          11     0.41213
          12    0.412114
          13    0.412111
          14    0.412119
          15    0.412138
          16    0.412134
          17    0.412108
          18    0.412107
          19    0.412101
          20    0.412075
           1    0.439919
           2    0.439998
           3    0.439978
           4    0.440006
           5    0.440211
           6    0.440257
           7    0.440308
           8     0.44027
           9    0.440314
          10    0.440344
          11    0.440406
          12    0.440445
          13    0.440419
          14    0.440462
          15    0.440456
          16    0.440458
          17    0.440434
          18    0.440468
          19    0.440448
          20    0.440458
           1    0.466751
           2    0.466697
           3    0.466763
           4    0.466752
           5    0.466711
           6    0.466829
           7    0.466753
           8    0.466805
           9    0.466806
          10    0.466847
          11    0.466883
          12    0.466937
          13    0.466888
          14    0.466882
          15     0.46685
          16    0.466833
          17    0.466775
          18    0.466785
          19    0.466804
          20    0.466785
           1    0.490753
           2    0.490795
           3    0.490792
           4    0.490874
           5    0.490837
           6    0.490786
           7    0.490741
           8    0.490735
           9    0.490744
          10    0.490759
          11    0.490764
          12    0.490792
          13    0.490745
          14    0.490747
          15    0.490765
          16    0.490786
          17    0.490767
          18    0.490781
          19    0.490732
          20    0.490732
           1    0.513639
           2    0.513392
           3    0.513324
           4    0.513348
           5    0.513279
           6     0.51324
           7    0.513169
           8    0.513184
           9    0.513122
          10    0.513159
          11     0.51319
          12    0.513203
          13    0.513155
          14    0.513149
          15     0.51318
          16    0.513194
          17    0.513187
          18     0.51321
          19    0.513215
          20    0.513197
           1    0.533327
           2    0.533314
           3    0.533341
           4    0.533442
           5     0.53347
           6    0.533504
           7    0.533559
           8    0.533638
           9    0.533637
          10    0.533556
          11    0.533553
          12    0.533473
          13    0.533492
          14    0.533509
          15    0.533512
          16    0.533532
          17    0.533553
          18    0.533564
          19    0.533573
          20    0.533591
