#DISTANCE(r)  GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913 0.000925687
    0.910562   0.0256161
    0.936212    0.181821
    0.961861    0.575365
    0.987511     1.21308
     1.01316     1.91986
     1.03881      2.2963
     1.06446     2.61179
     1.09011     2.60995
     1.11576     2.43694
     1.14141     2.18963
     1.16706     1.95399
     1.19271     1.72059
     1.21836      1.5872
     1.24401      1.4049
     1.26966     1.28684
     1.29531     1.19577
     1.32096     1.05361
     1.34661    0.963388
     1.37226    0.904113
     1.39791    0.820382
     1.42355    0.767477
      1.4492    0.760586
     1.47485    0.715066
      1.5005     0.67655
     1.52615    0.679722
      1.5518    0.624732
     1.57745    0.621302
      1.6031    0.637401
     1.62875    0.675917
      1.6544    0.693973
     1.68005     0.74014
      1.7057     0.74224
     1.73135    0.795267
       1.757    0.842015
     1.78265    0.884371
      1.8083    0.927283
     1.83395    0.962864
      1.8596      1.0258
     1.88525     1.04205
      1.9109     1.09113
     1.93655     1.13626
      1.9622     1.16823
     1.98785     1.19184
      2.0135     1.20023
     2.03915     1.20394
      2.0648     1.19075
     2.09045     1.23488
      2.1161     1.23992
     2.14174     1.19463
     2.16739     1.21159
     2.19304      1.1856
     2.21869     1.11385
     2.24434     1.08988
     2.26999     1.04047
     2.29564     1.02166
     2.32129     1.01544
     2.34694    0.981996
     2.37259     0.96789
     2.39824    0.936125
     2.42389    0.940871
     2.44954    0.922617
     2.47519    0.893816
     2.50084     0.88549
     2.52649    0.886084
     2.55214    0.885964
