#DISTANCE(r)  GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263 4.90889e-05
    0.884913 0.000833119
    0.910562   0.0235179
    0.936212    0.167472
    0.961861    0.553583
    0.987511     1.22255
     1.01316     1.89119
     1.03881     2.33354
     1.06446     2.57471
     1.09011     2.57618
     1.11576     2.43409
     1.14141     2.24461
     1.16706     1.99117
     1.19271     1.77348
     1.21836     1.56806
     1.24401     1.40844
     1.26966     1.25086
     1.29531     1.14431
     1.32096     1.03629
     1.34661    0.955852
     1.37226    0.879746
     1.39791    0.813928
     1.42355    0.780605
      1.4492    0.741948
     1.47485    0.715766
      1.5005    0.694933
     1.52615    0.682072
      1.5518    0.674942
     1.57745    0.677233
      1.6031    0.683518
     1.62875     0.69126
      1.6544    0.709625
     1.68005     0.72762
      1.7057    0.757301
     1.73135    0.791107
       1.757    0.817982
     1.78265    0.853326
      1.8083    0.902433
     1.83395    0.952648
      1.8596    0.981982
     1.88525     1.02707
      1.9109     1.07132
     1.93655     1.11303
      1.9622      1.1415
     1.98785     1.16891
      2.0135     1.18254
     2.03915     1.20541
      2.0648      1.2241
     2.09045     1.22121
      2.1161     1.22474
     2.14174     1.21411
     2.16739     1.19065
     2.19304     1.16667
     2.21869     1.13409
     2.24434     1.11369
     2.26999     1.07954
     2.29564     1.04959
     2.32129     1.02277
     2.34694    0.999947
     2.37259    0.980748
     2.39824    0.960058
     2.42389     0.93939
     2.44954    0.925734
     2.47519    0.912309
     2.50084    0.905055
     2.52649    0.894454
     2.55214    0.897126
