#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.64879     1.64879           0
           2     1.66721       1.658  0.00651535
           3     1.69059     1.66886   0.0098773
           4     1.63978     1.66159  0.00972247
           5     1.67775     1.66483  0.00829763
           6      1.6686     1.66545   0.0069385
           7     1.66539     1.66544   0.0059473
           8     1.67118     1.66616  0.00524693
           9     1.67542     1.66719   0.0047638
          10     1.69062     1.66953  0.00482927
          11     1.64831      1.6676  0.00476005
          12      1.6766     1.66835  0.00442204
          13     1.67748     1.66906  0.00413728
          14     1.69424     1.67086  0.00421477
          15     1.66693     1.67059   0.0039419
          16     1.67206     1.67069  0.00369659
          17     1.67391     1.67087  0.00348399
          18     1.65364     1.66992   0.0034195
          19     1.66816     1.66982  0.00324078
          20     1.66179     1.66942  0.00310355
