#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.09919     1.09919           0
           2     1.11148     1.10533  0.00434357
           3     1.12706     1.11258  0.00658487
           4     1.09319     1.10773  0.00648165
           5      1.1185     1.10988  0.00553175
           6      1.1124      1.1103  0.00462567
           7     1.11026      1.1103  0.00396486
           8     1.11412     1.11077  0.00349795
           9     1.11695     1.11146  0.00317587
          10     1.12708     1.11302  0.00321951
          11     1.09887     1.11174  0.00317337
          12     1.11773     1.11224  0.00294802
          13     1.11832      1.1127  0.00275819
          14     1.12949      1.1139  0.00280985
          15     1.11129     1.11373  0.00262793
          16      1.1147     1.11379  0.00246439
          17     1.11594     1.11392  0.00232266
          18     1.10243     1.11328  0.00227966
          19      1.1121     1.11322  0.00216052
          20     1.10786     1.11295  0.00206903
