#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.76606    -3.76606           0
           2    -3.76706    -3.76656 0.000354857
           3    -3.76665    -3.76659 0.000237688
           4    -3.76554    -3.76633 0.000288395
           5    -3.76815    -3.76669 0.000398788
           6    -3.76607    -3.76659 0.000345618
           7    -3.76804     -3.7668 0.000353351
           8    -3.76759    -3.76689 0.000322861
           9    -3.76641    -3.76684 0.000291475
          10    -3.76704    -3.76686 0.000263024
          11    -3.76652    -3.76683 0.000240962
          12    -3.76647     -3.7668 0.000222783
          13    -3.76644    -3.76677 0.000207402
          14    -3.76569    -3.76669 0.000206398
          15    -3.76611    -3.76666 0.000196243
          16    -3.76666    -3.76666 0.000183978
          17    -3.76621    -3.76663  0.00017501
          18     -3.7667    -3.76663  0.00016533
          19    -3.76791     -3.7667 0.000169754
          20    -3.76569    -3.76665 0.000168594
