#DISTANCE(r)  GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913  0.00166624
    0.910562   0.0243484
    0.936212    0.179174
    0.961861    0.594325
    0.987511     1.19148
     1.01316     1.88992
     1.03881     2.42577
     1.06446     2.65382
     1.09011     2.66311
     1.11576     2.51785
     1.14141     2.13967
     1.16706     1.97379
     1.19271     1.71941
     1.21836     1.50282
     1.24401     1.29691
     1.26966      1.1789
     1.29531     1.10279
     1.32096     1.04609
     1.34661    0.969164
     1.37226    0.898223
     1.39791    0.829322
     1.42355    0.795735
      1.4492    0.759481
     1.47485     0.73696
      1.5005    0.663414
     1.52615    0.683628
      1.5518    0.698346
     1.57745    0.684151
      1.6031    0.692445
     1.62875    0.679524
      1.6544    0.711439
     1.68005    0.753726
      1.7057     0.77899
     1.73135    0.800091
       1.757    0.813931
     1.78265    0.845354
      1.8083     0.88962
     1.83395    0.958424
      1.8596     1.02409
     1.88525     1.02277
      1.9109     1.05211
     1.93655      1.0698
      1.9622     1.12577
     1.98785     1.17158
      2.0135      1.1964
     2.03915      1.2297
      2.0648     1.24553
     2.09045     1.25329
      2.1161     1.21799
     2.14174     1.20818
     2.16739     1.18019
     2.19304     1.14646
     2.21869     1.11795
     2.24434     1.07502
     2.26999     1.07354
     2.29564     1.03844
     2.32129     1.03444
     2.34694     1.00633
     2.37259    0.966628
     2.39824    0.928456
     2.42389    0.927947
     2.44954    0.909177
     2.47519    0.911374
     2.50084    0.920481
     2.52649    0.897003
     2.55214    0.911855
