#DISTANCE(r)  GOFR_BLOCK
   0.0128248           0
   0.0384745           0
   0.0641241           0
   0.0897737           0
    0.115423           0
    0.141073           0
    0.166723           0
    0.192372           0
    0.218022           0
    0.243672           0
    0.269321           0
    0.294971           0
     0.32062           0
     0.34627           0
     0.37192           0
    0.397569           0
    0.423219           0
    0.448869           0
    0.474518           0
    0.500168           0
    0.525818           0
    0.551467           0
    0.577117           0
    0.602767           0
    0.628416           0
    0.654066           0
    0.679715           0
    0.705365           0
    0.731015           0
    0.756664           0
    0.782314           0
    0.807964           0
    0.833613           0
    0.859263           0
    0.884913  0.00203651
    0.910562   0.0283264
    0.936212    0.164453
    0.961861    0.566942
    0.987511     1.20635
     1.01316     1.86139
     1.03881     2.34533
     1.06446     2.58207
     1.09011     2.57777
     1.11576     2.43639
     1.14141     2.23612
     1.16706     2.00048
     1.19271      1.7734
     1.21836     1.55776
     1.24401     1.40746
     1.26966     1.24893
     1.29531     1.12977
     1.32096      1.0297
     1.34661    0.945799
     1.37226    0.878302
     1.39791    0.827226
     1.42355    0.785773
      1.4492     0.74961
     1.47485    0.720614
      1.5005    0.695851
     1.52615    0.681013
      1.5518    0.682949
     1.57745    0.662653
      1.6031    0.679809
     1.62875    0.696055
      1.6544    0.705043
     1.68005    0.726349
      1.7057    0.755034
     1.73135    0.789717
       1.757    0.828677
     1.78265    0.866328
      1.8083      0.9023
     1.83395    0.948337
      1.8596    0.982496
     1.88525     1.02784
      1.9109     1.07158
     1.93655     1.10691
      1.9622     1.14763
     1.98785     1.17209
      2.0135     1.19334
     2.03915     1.20878
      2.0648     1.22214
     2.09045     1.22742
      2.1161      1.2187
     2.14174      1.2145
     2.16739     1.18951
     2.19304     1.16392
     2.21869     1.13605
     2.24434     1.10835
     2.26999     1.07427
     2.29564     1.05825
     2.32129     1.02011
     2.34694    0.996854
     2.37259    0.973048
     2.39824    0.957745
     2.42389    0.939323
     2.44954    0.923547
     2.47519    0.918485
     2.50084    0.903948
     2.52649    0.887118
     2.55214    0.888423
